FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 8283_111716_07_cut; MOTHER
@Filename:		8283_111716_07_cut
@Age of CHI:	 	XXX
@Date of Test: 	XXX
@Activities:		XXX
@Transcribed by:	GMRTrans; Checked by XX; Date:  XXX
%com:		TRANSCRIPTION BEGINS
%com:		***********************************







*MOT:	okay Grayson.
%com:		child making music.
*MOT:	come here.
*MOT:	Grayson.
*MOT:	come over here.
*com:		instrument dropped.
*MOT:	oops.
*MOT:	okay.
*MOT:	here's the horse.
*MOT:	the horse.
*MOT:	yeah.
*MOT:	this is a truck.
*MOT:	this is a big horse and this is a big truck a big car.
*MOT:	and what's this?
*MOT:	this is a small horse and this is big horse.
*MOT:	and this is a small car.
*MOT:	where's the small horse?
*CHI:		[xxx]
*MOT:	is that the small horse?
*MOT:	should we put it next to the big horse?
*MOT:	there we go.
*MOT:	that's a large horse and that's a small horse.
*CHI:		[xxx]
*MOT:	where's the small car?
*CHI:		[xxx]
*MOT:	where's the small car?
*CHI:		[xxx]
*MOT:	where's the small car?
*MOT:	small car's here.
*CHI:		[xxx]
%com:		mother laughs.
*MOT:	typical boy.
*MOT:	where's the small car?
*MOT:	is it next to the big car?
*CHI:		[xxx]
*CHI:		[xxx]
*MOT:	yeah.
*CHI:		[xxx]
*MOT:	Grayson can you bring me the small car?
*MOT:	where's the small car?
*MOT:	over here.
*MOT:	Grayson bring me the small car.
*MOT:	here's the large car.
*MOT:	can you put it next to it?
*MOT:	is that the large car?
*MOT:	can you bring them over here?
*MOT:	how about the small horse?
*CHI:		[xxx]
*MOT:	which one's the small horse?
*MOT:	come here which one's the small horse?
*CHI:		[xxx]
*MOT:	whoa.
%com:		mother laughs.
*MOT:	where's the small horse?
*CHI:		[xxx]
*MOT:	guess he wants to put them all together.
*MOT:	that's what he likes to do.
*CHI:		[xxx]
*MOT:	okay this is a small horse.
*MOT:	can we put it in here?
*MOT:	put the small horse in here.
*MOT:	can you put it in here?
*MOT:	good job.
*MOT:	and the large horse goes and you're putting the large horse in there.
*MOT:	okay.
*CHI:		[xxx]
*MOT:	where does the large car go?
*CHI:		[xxx]
*MOT:	that's that's the small bucket.
*MOT:	and you want to put it in here?
*MOT:	and where's the small car?
*CHI:		[xxx]
*MOT:	yeah.
*MOT:	can you put it in here?
*MOT:	can you put it in here?
*MOT:	the small bucket.
*MOT:	oh you keep it out.
*MOT:	you're going to take it out.
*MOT:	there's the car.
*MOT:	that's the large car.
*CHI:		[xxx]
*MOT:	yeah.
*MOT:	okay how about the horse.
*MOT:	where are the horses?
*CHI:		[xxx]
*MOT:	that's a large horse.
*MOT:	yeah.
*MOT:	where where's the small horse?
*MOT:	is the small horse in here?
*MOT:	where's the large horse?
*CHI:		[xxx]
*MOT:	oh the car.
*MOT:	can you put the car in here?
