FILE INFORMATION HEADING


@Begin
@Participants:		8283_012017_01_cut.m4a; MOTHER
@Filename:		8283_012017_01_cut.m4a
@Age of CHI:	 	XXX
@Date of Test: 	XXX
@Activities:		XXX
@Transcribed by:	GMRTrans; Checked by XX; Date:  XXX
%com:		TRANSCRIPTION BEGINS
%com:		***********************************











%com: 	child fusses. 
*MOT: 	what do you want?
*MOT: 	do you want to flip it over?
*MOT: 	like that?
%com:	tapping noises.
%com: 	child fusses.
*MOT:	look.
%com:	shaking noises.
%com:	mother laughs.
%com:	shaking noises.
*CHI:	[xxx]
*MOT: 	you do your thing. 
%com:	shaking noises.
%com:	tapping noises.
%com:	mother laughs.
*MOT: 	that’s interesting?
%com: 	louder tapping noises.
%com:	mother laughs.
*MOT: 	Luis, look at this.
*MOT: 	oh okay. 
*MOT: 	that’s yours now?
%com:	loud children’s voices in the background. 
 
%com: 	rustling noises. 
%com: 	shaking noises.
*MOT: 	come here. 
*MOT: 	look. 
%com: 	rustling noises. 
%com: 	jingling noises. 
%com: 	rustling noises. 
%com: 	louder tapping noises.
*CHI:	[xxx]
*CHI:	[xxx]
*CHI:	[xxx]
*MOT: 	you don’t like the drum?
%com: 	rustling noises.
%com: 	jingling noises. 
*CHI:	[xxx]
*CHI:	[xxx]
*CHI:	[xxx]
*MOT: 	I don’t understand. 
*MOT: 	can you use your words? 
*MOT: 	do you want to flip it over? 
*MOT: 	look. 
%com: 	rustling noises. 
*CHI:	[xxx]
%com:	shaking noises.
*MOT: 	watch. 
%com: 	rustling noises. 
*MOT: 	can you do this? 
*MOT: 	Luis. 
%com: 	louder rhythmic tapping noises.
%com: 	jingling noises. 
%com:	shaking noises.
*MOT: 	can you try?
%com:	rhythmic tapping noises.
*MOT: 	Luis. 
*CHI:	[xxx]
%com:	shaking noises.
*MOT: 	what’s in it? 
*MOT: 	can you shake it and look?
%com: 	clicking noises. 
*MOT: 	oh okay. 
%com: 	louder rhythmic tapping noises.
*MOT: 	do you want to do it together?
%com: 	louder rhythmic tapping noises.
%com:	mother laughs.
%com: 	jingling noises. 
*MOT: 	good job.
%com: 	jingling noises. 
%com: 	louder rhythmic tapping noises.
%com:	shaking noises.
*CHI:	[xxx]
*MOT: 	what?
%com:	shaking noises.
*MOT: 	here you go. 
%com: 	louder tapping noises.
*MOT: 	you don’t like it?
*MOT: 	look. 
%com: 	louder rhythmic tapping noises.
*MOT: 	do you want to tap it?
%com: 	rustling noises. 
%com:	loud children’s voices in the background.
*MOT: 	do you want to do it with your hand?
*MOT: 	how about you do it with your hands too.
%com: 	louder rhythmic tapping noises.
*MOT: 	can you try?
%com: 	rustling noises. 
*MOT: 	okay. 
*CHI:	mama.
*MOT: 	yes. 
*CHI:	[xxx]
%com: 	rustling noises. 
*MOT: 	look. 
%com: 	louder rhythmic tapping noises.
*MOT: 	now you do it.
%com: 	rustling noises. 
*MOT: 	can you do that with me?
%com:	shaking noises.
*CHI: 	mama?
*MOT: 	that’s for Mama?
%com:	rhythmic shaking noises.
%com: 	louder rhythmic tapping noises.
*MOT: 	now Luis does it. 
%com: 	clicking noises. 
*MOT: 	now can you do it?
%com:	mother laughs.
*CHI:	[xxx]
*MOT: 	look. 
%com: 	louder rhythmic tapping noises.
%com:	rhythmic shaking noises.
*CHI:	[xxx]
%com: 	louder tapping noises.
*CHI:	[xxx]
*CHI:	[xxx]
*CHI:	[xxx]
*CHI:	[xxx]
*MOT: 	can you do shakeshakeshake?
%com:	rhythmic shaking noises.
*MOT: 	shakeshakeshake.
%com:	shaking noises.
*MOT: 	good.
%com: 	clicking noises.
*MOT: 	here can you do bangbangbang? 
%com: 	louder rhythmic tapping noises.
%com:	shaking noises.
*MOT: 	oh no don’t put it in your mouth. 
*CHI:	[xxx]
*MOT: 	yeah?
*CHI:	[xxx]
*MOT: 	do you see all the colors?
%com:	loud children’s voices in the background.
%com: 	louder rhythmic tapping noises.
%com:	shaking noises.
*MOT: 	sorry we don’t really like to listen.
%com:	mother laughs.
%com: 	louder rhythmic tapping noises.
*MOT: 	yay.
%com:	shaking noises.
%com: 	louder tapping noises.
*MOT: 	good job. 
%com: 	louder tapping noises.
*MOT: 	that’s what you wanted to learn how to do?
%com: 	jingling noises. 
*CHI:	[xxx]
*MOT: 	okay. 
*MOT: 	you want to dance?
%com: 	rhythmic jingling noises. 
%com:	mother laughs.
%com: 	bell rings.


